Model,trace name,IPC,number of instructions,number of load misses,MPKI
lime19,result_baseline_milc_409B.trace.gz.txt,0.579583,100000003.0,971320.0,9.713199708604009
lime20,result_baseline_sphinx3_883B.trace.gz.txt,0.89505,100000000.0,44401.0,0.44401
lime20,result_baseline_bzip2_259B.trace.gz.txt,0.91007,100000002.0,55959.0,0.5595899888082002
lime20,result_baseline_wrf_1228B.trace.gz.txt,0.789394,100000000.0,59597.0,0.59597
lime20,result_baseline_lbm_94B.trace.gz.txt,0.710737,100000000.0,390825.0,3.90825
lime20,result_baseline_gcc_13B.trace.gz.txt,0.26411,100000001.0,580768.0,5.8076799419232
lime20,result_baseline_calculix_2655B.trace.gz.txt,1.74076,100000000.0,20954.0,0.20954
lime20,result_baseline_gcc_39B.trace.gz.txt,0.725215,100000001.0,13327.0,0.13326999866730002
lime20,result_baseline_wrf_1650B.trace.gz.txt,0.681322,100000000.0,48570.0,0.4857
lime20,result_baseline_omnetpp_340B.trace.gz.txt,0.254535,100000000.0,1077656.0,10.77656
lime20,result_baseline_wrf_1212B.trace.gz.txt,0.564937,100000002.0,10878.0,0.10877999782440004
lime20,result_baseline_soplex_205B.trace.gz.txt,0.355631,100000003.0,1289653.0,12.89652961310411
lime20,result_baseline_perlbench_53B.trace.gz.txt,0.395657,100000000.0,7462.0,0.07462
lime20,result_baseline_zeusmp_300B.trace.gz.txt,1.34111,100000002.0,27459.0,0.2745899945082001
lime20,result_baseline_calculix_3812B.trace.gz.txt,1.75928,100000000.0,5264.0,0.05264
lime20,result_baseline_milc_744B.trace.gz.txt,0.679384,100000003.0,738728.0,7.387279778381607
lime20,result_baseline_astar_23B.trace.gz.txt,0.324319,100000000.0,195046.0,1.95046
lime20,result_baseline_leslie3d_94B.trace.gz.txt,0.614647,100000000.0,405606.0,4.05606
lime20,result_baseline_lbm_1004B.trace.gz.txt,0.686695,100000001.0,415574.0,4.1557399584426005
lime20,result_baseline_astar_313B.trace.gz.txt,0.144394,100000001.0,1252626.0,12.526259874737402
